Nom DCI,Nom original,Dosage,Forme,Classe thérapeutique,Conservation,Psychotrope,Chaîne froid,À préparer,Haute vigilance,Restreint pédia,mg/kg ref,Tiroir,Lot
Lidocaine Inj,LIDOCAINE INJ 2%,2%,Solution injectable,Anesthésique local,Température ambiante contrôlée (< 25°C),,,,,,,1,LOT-LIDOCA-2025-01
Paracetamol Sol Inj,PARACETAMOL SOL INJ 1G,1G,Solution injectable,Antalgique / Antipyrétique,Température ambiante contrôlée (20–25°C),,,,,,15.0,2,LOT-PARACE-2025-01
Buprenorphine Inj,BUPRENORPHINE INJ 0.3MG/ML,0.3MG/ML,Solution injectable,Psychotrope / Stupéfiant,Température ambiante,✓,,,,,,3,LOT-BUPREN-2025-01
Diclofenac Sodique Inj,DICLOFENAC SODIQUE INJ 75MG,75MG,Solution injectable,Anti-inflammatoire (AINS),Température ambiante contrôlée (20–25°C),,,,,,,4,LOT-DICLOF-2025-01
Azathioprine Comp,AZATHIOPRINE COMP 50MG,50MG,Comprimé,Anticancéreux / Immunosuppresseur,Température ambiante contrôlée (< 25°C),,,,,,,5,LOT-AZATHI-2025-01
Rituximab Sol P/Perf,RITUXIMAB SOL P/PERF 500MG/50ML,500MG/50ML,Solution pour perfusion,Anticancéreux / Immunosuppresseur,Réfrigéré (2–8°C),,✓,,✓,,,6,LOT-RITUXI-2025-01
"Propranolol Sol Buv 37,5","PROPRANOLOL SOL BUV 37,5",-,Solution buvable,Cardiologie,Température ambiante,,,,,,,7,LOT-PROPRA-2025-01
Tulle Ou Gaze/Baume Du Perou Pm,TULLE OU GAZE/BAUME DU PEROU PM,-,Pansement,Pansement / Dispositif médical,Température ambiante,,,,,,,8,LOT-TULLE-2025-01
Polyvidone Iodee Sol Derm,POLYVIDONE IODEE SOL DERM 10%,10%,Solution dermique,Antiseptique,Température ambiante contrôlée (< 25°C),,,,,,,9,LOT-POLYVI-2025-01
Sulfadiazine Argentique Cre,SULFADIAZINE ARGENTIQUE CRE 1%,1%,Crème,Antibiotique local,Température ambiante contrôlée (15–25°C),,,,,,,10,LOT-SULFAD-2025-01
